EmployeeID,Name,LastName,Email,Age,Country,PhoneNumber,HireDate,JobID,Salary,ManagerID,DepartmentID
1234,John,Doe,john.doe@example.com,50,USA,(123)456-7890,2015-03-25,Manager,6000,,1
5670,Susan,Smith,susan.smith@example.com,45,Canada,(987)654-3210,2017-06-10,Manager,7500,,2
9101,Michael,Adams,michael.adams@example.com,55,UK,(555)123-4567,2010-09-12,Manager,8000,,3
1122,Emily,Williams,emily.williams@example.com,40,Australia,(333)444-5555,2018-01-17,Manager,7000,,4
3344,David,Brown,david.brown@example.com,60,USA,(666)777-8888,2008-07-19,Manager,9000,,5
8762,Angela,Hubbard,luke11@example.org,47,Suriname,(501)651-8148,2020-10-05,Engineer,2164,9101.0,4
5477,Joshua,Morgan,joshua48@example.org,62,Botswana,(372)423-5586x28516,2022-09-11,Salesperson,1330,9101.0,2
2348,Brianna,Johnson,athomas@example.org,38,Guam,+1-723-290-5101x268,2021-01-21,Analyst,1132,1122.0,4
7018,Jessica,Harris,pamela53@example.org,24,Mexico,748.501.1042x0125,2021-03-14,Intern,1001,9101.0,1
8653,Gina,Rollins,kellerthomas@example.com,49,Bolivia,(961)265-7410,2019-06-21,Assistant,3654,3344.0,3
1924,Jodi,Marsh,steven59@example.com,65,Palestinian Territory,001-690-769-0859,2020-05-26,ITProgrammer,1464,1234.0,1
4806,Jessica,Hodge,benjaminpatrick@example.com,20,Jordan,001-432-633-0661x7589,2023-10-31,HR,1464,9101.0,2
9373,Joyce,Newton,brandy15@example.com,68,United Arab Emirates,+1-476-756-5912x1984,2020-12-11,ITProgrammer,3902,1234.0,1
7367,James,Jimenez,danielgrimes@example.org,58,French Polynesia,2978422547,2020-09-29,Engineer,3187,9101.0,4
4174,Brianna,Robinson,hughesjacqueline@example.org,20,Falkland Islands (Malvinas),363.617.7787,2019-02-03,Accountant,1575,3344.0,4
2712,Crystal,Jefferson,clarkfrancisco@example.net,63,Kazakhstan,(279)872-8346x400,2019-12-03,Engineer,4106,1122.0,1
